10336_at,PCGF3
10342_at,TFG
10343_at,PKDREJ
10346_at,TRIM22
10347_at,ABCA7
10351_at,ABCA8
10352_at,WARS2
1036_at,CDO1
10360_at,NPM3
10362_at,HMG20B
10363_at,HMG20A
10365_at,KLF2
10367_at,CBARA1
10368_at,CACNG3
10369_at,CACNG2
10370_at,CITED2
10371_at,SEMA3A
10376_at,TUBA1B
10379_at,IRF9
1038_at,CDR1
10381_at,TUBB3
10382_at,TUBB4
10383_at,TUBB2C
10384_at,BTN3A3
10385_at,BTN2A2
10388_at,SYCP2
10389_at,SCML2
1039_at,CDR2
10390_at,CEPT1
10391_at,CORO2B
103910_at,MRLC2
10392_at,NOD1
10393_at,ANAPC10
10394_at,PRG3
10395_at,DLC1
10396_at,ATP8A1
10397_at,NDRG1
10398_at,MYL9
10399_at,GNB2L1
104_at,ADARB1
1040_at,CDS1
10400_at,PEMT
10401_at,PIAS3
10402_at,ST3GAL6
10403_at,NDC80
10404_at,PGCP
10406_at,WFDC2
10407_at,SPAG11B
10409_at,BASP1
1041_at,CDSN
10410_at,IFITM3
10411_at,RAPGEF3
10413_at,YAP1
10417_at,SPON2
10418_at,SPON1
10419_at,PRMT5
10420_at,TESK2
10421_at,CD2BP2
10422_at,UBAC1
10423_at,CDIPT
10424_at,PGRMC2
10425_at,ARIH2
10426_at,TUBGCP3
10427_at,SEC24B
10428_at,CFDP1
1043_at,CD52
10430_at,TMEM147
10431_at,TIMM23
10432_at,RBM14
10434_at,LYPLA1
10435_at,CDC42EP2
10436_at,EMG1
10437_at,IFI30
10438_at,C1D
10439_at,OLFM1
1044_at,CDX1
10440_at,TIMM17A
10443_at,N4BP2L2
10444_at,ZER1
10445_at,MCRS1
10446_at,LRRN2
10449_at,ACAA2
1045_at,CDX2
10450_at,PPIE
10451_at,VAV3
10452_at,TOMM40
10454_at,MAP3K7IP1
10455_at,PECI
10456_at,HAX1
10457_at,GPNMB
10458_at,BAIAP2
1046_at,CDX4
10460_at,TACC3
10461_at,MERTK
10462_at,CLEC10A
10463_at,SLC30A9
10464_at,PIBF1
10465_at,PPIH
10466_at,COG5
10467_at,ZNHIT1
10468_at,FST
10469_at,TIMM44
1047_at,CLGN
10471_at,PFDN6
10472_at,ZNF238
10473_at,HMGN4
10474_at,TADA3L
10475_at,TRIM38
10476_at,ATP5H
10477_at,UBE2E3
10478_at,SLC25A17
10479_at,SLC9A6
1048_at,CEACAM5
10480_at,EIF3M
10481_at,HOXB13
10482_at,NXF1
10483_at,SEC23B
10484_at,SEC23A
10485_at,C1orf61
10486_at,CAP2
10487_at,CAP1
10488_at,CREB3
10489_at,LRRC41
10490_at,VTI1B
10491_at,CRTAP
10492_at,SYNCRIP
10493_at,VAT1
10494_at,STK25
10495_at,ENOX2
10497_at,UNC13B
10498_at,CARM1
10499_at,NCOA2
105_at,ADARB2
1050_at,CEBPA
10500_at,SEMA6C
10501_at,SEMA6B
10505_at,SEMA4F
10507_at,SEMA4D
1051_at,CEBPB
10512_at,SEMA3C
10513_at,APPBP2
10514_at,MYBBP1A
10516_at,FBLN5
10518_at,CIB2
10519_at,CIB1
1052_at,CEBPD
10520_at,ZNF211
10521_at,DDX17
10522_at,DEAF1
10523_at,CHERP
10524_at,HTATIP
10525_at,HYOU1
10526_at,IPO8
10528_at,NOL5A
10529_at,NEBL
1053_at,CEBPE
10531_at,PITRM1
10533_at,ATG7
10534_at,SSSCA1
10535_at,RNASEH2A
10536_at,LEPREL2
10537_at,UBD
10538_at,BATF
10539_at,GLRX3
1054_at,CEBPG
10540_at,DCTN2
10541_at,ANP32B
10542_at,HBXIP
10544_at,PROCR
10548_at,TM9SF1
10549_at,PRDX4
10550_at,ARL6IP5
10551_at,AGR2
10552_at,ARPC1A
10553_at,HTATIP2
10554_at,AGPAT1
10555_at,AGPAT2
10556_at,RPP30
10557_at,RPP38
10558_at,SPTLC1
10559_at,SLC35A1
1056_at,CEL
10560_at,SLC19A2
10561_at,IFI44
10562_at,OLFM4
10563_at,CXCL13
10564_at,ARFGEF2
10565_at,ARFGEF1
10566_at,AKAP3
10567_at,RABAC1
1057_at,CELP
10570_at,DPYSL4
10572_at,SIVA1
10573_at,MRPL28
10574_at,CCT7
10575_at,CCT4
10576_at,CCT2
10577_at,NPC2
10578_at,GNLY
10579_at,TACC2
1058_at,CENPA
10580_at,SORBS1
10581_at,IFITM2
10584_at,COLEC10
10585_at,POMT1
10586_at,MAB21L2
10587_at,TXNRD2
10588_at,MTHFS
10589_at,DRAP1
1059_at,CENPB
10590_at,SCGN
10591_at,C6orf108
10592_at,SMC2
10594_at,PRPF8
10595_at,ERN2
10598_at,AHSA1
10599_at,SLCO1B1
1060_at,CENPC1
10600_at,USP16
10602_at,CDC42EP3
10603_at,SH2B2
10605_at,PAIP1
10606_at,PAICS
10607_at,TBL3
10608_at,MXD4
10609_at,SC65
10610_at,ST6GALNAC2
10611_at,PDLIM5
10612_at,TRIM3
10613_at,ERLIN1
10614_at,HEXIM1
10615_at,SPAG5
10616_at,RBCK1
10617_at,STAMBP
10618_at,TGOLN2
1062_at,CENPE
10621_at,POLR3F
10622_at,POLR3G
10623_at,POLR3C
10625_at,IVNS1ABP
10628_at,TXNIP
10629_at,TAF6L
1063_at,CENPF
10630_at,PDPN
10631_at,POSTN
10632_at,ATP5L
10633_at,RASL10A
10634_at,GAS2L1
10635_at,RAD51AP1
10636_at,RGS14
10637_at,LEFTY1
10638_at,SPHAR
10639_at,HHCM
10640_at,EXOC5
10641_at,TUSC4
10643_at,IGF2BP3
10645_at,CAMKK2
10647_at,SCGB1D2
10648_at,SCGB1D1
10650_at,SLMO1
10651_at,MTX2
10652_at,YKT6
10653_at,SPINT2
10654_at,PMVK
10656_at,KHDRBS3
10657_at,KHDRBS1
10658_at,CUGBP1
10659_at,CUGBP2
10660_at,LBX1
10661_at,KLF1
10663_at,CXCR6
10664_at,CTCF
10665_at,C6orf10
10666_at,CD226
10667_at,FARS2
10668_at,CGRRF1
10669_at,CGREF1
10670_at,RRAGA
10671_at,DCTN6
10672_at,GNA13
10675_at,CSPG5
10677_at,AVIL
10678_at,B3GNT2
1068_at,CETN1
10681_at,GNB5
10682_at,EBP
10683_at,DLL3
10686_at,CLDN16
10687_at,PNMA2
1069_at,CETN2
10690_at,FUT9
10691_at,GMEB1
10692_at,RRH
10693_at,CCT6B
10694_at,CCT8
10695_at,CNPY3
10699_at,CORIN
107_at,ADCY1
1070_at,CETN3
1071_at,CETP
10712_at,C1orf2
10713_at,USP39
10714_at,POLD3
10716_at,TBR1
1072_at,CFL1
10721_at,POLQ
10723_at,SLC12A7
10724_at,MGEA5
10725_at,NFAT5
10726_at,NUDC
10728_at,PTGES3
10730_at,YME1L1
10732_at,TCFL5
10733_at,PLK4
10734_at,STAG3
10735_at,STAG2
10736_at,SIX2
10737_at,RFPL3S
10738_at,RFPL3
10739_at,RFPL2
10740_at,RFPL1S
10741_at,RBBP9
10742_at,RAI2
10744_at,PTTG2
10745_at,PHTF1
10746_at,MAP3K2
10747_at,MASP2
10748_at,KLRA1
10749_at,KIF1C
1075_at,CTSC
10750_at,GRAP
10752_at,CHL1
10753_at,CAPN9
10755_at,GIPC1
10758_at,TRAF3IP2
10761_at,PLAC1
10762_at,NUP50
10763_at,NES
10765_at,JARID1B
10766_at,TOB2
10767_at,HBS1L
10768_at,AHCYL1
10769_at,PLK2
10771_at,ZMYND11
10772_at,FUSIP1
10773_at,ZBTB6
10775_at,POP4
10776_at,ARPP-19
10777_at,ARPP-21
10778_at,ZNF271
10781_at,ZNF266
10782_at,ZNF274
10785_at,WDR4
10786_at,SLC17A3
10787_at,NCKAP1
10788_at,IQGAP2
10791_at,VAMP5
10793_at,ZNF273
10794_at,ZNF460
