OAS1,LY6E,IFI44,ACP5,IL18RAP,DNAJB6,RTP4,GNG7,SERPING1,HSD11B1,SCO2,GBP1,TNKS,GGA2,CDK5,ARIH2,ZNF135,RBM5,DSCC1,DUSP4,EMX2,JARID1B,SMPDL3A,RAPGEF2,ORM1,UBE2C
LOC130074,IFIT1,IFI44L,EPB41L3,IFITM1,FAM152B,C13orf18,P2RX1,AHCTF1,BTN3A1,HCP5,SRBD1,TPMT,C1orf115,DUSP5,C14orf122,PRSS21,SMAD1,PDCD1LG2,MTMR9,HES2,C1QA,FAM82C,MS4A3,GRAMD1C,DPPA4,SLC39A7,IFI27
ISG15,MGLL,DNASE1L1,PSME2,YTHDF1,DDX60,ADAM28,KIF4A,ZNF83,ALDH9A1,RSAD2,CISH,ARSA,ICAM3,EGR3,HLA-DQA1,LILRA5,SAV1,C1QB,PARP3,RNFT2,GNB5,MPDU1,POLR3D,ZNF510,SLC16A4,EFHC1,CORO1B,TEX2,DEFB126,ASH2L,IGKV1-37
IFIT3,CTSL1,MBTPS1,SERTAD2,MS4A4A,IDH2,AIM2,FZD1,CHI3L1,TK1,IRS2,DECR2,ZBTB5,MT1X,C20orf103,DTNB,DUSP3,CCR10,LRIG2,ABBA-1,KIF2C,PRDM2,DDO,L1TD1,MYH13,CD200,E2F8,IQGAP1,GPT
TRIM22,IFI6,SIGLEC1,TRPM2,IGHM,CBR1,MKI67,PSME1,NUP43,CDKAL1,RHBDL1,SLC22A7,TRAF3,EHD4,SMPX,NRTN,AVIL,PCDHGA11,PDZD2,PHF16,TNFRSF10B,TRIM24,KLRK1,MKLN1,TBL1X,COX6A2,HADHA,PASK,NCAPH,HOXB8
IFITM3,CABIN1,MT2A,MR1,HLA-DQB1,REC8,HLA-DOB,MAP2K6,NOTCH4,PHLPP,USP13,PF4V1,RRAS,CCRL2,ZNF665,BHLHB2,WDR41,MELK,CASP7,IL1RAP,PSCD1,PSRC1,BPTF,AGRN,OGT,CRYBB3,TLE1,TNNT1,MNS1,VAMP5,CDK5R2,HRK,MLLT4
STAT1,BLVRA,C15orf29,TAP1,CDCA8,BCL11A,HSD17B12,HBZ,FCER1G,DDX17,CD24,SBF1,PLSCR1,AFFX-HUMISGF3A/M97935_3_at,KYNU,MICAL3,ZCCHC2,VPREB3,VLDLR,CTSL2,CTH,C6orf162,SLC35C1,CST4,ACTR3B,FAM134C,UBAC1,CD9,ASB1,DTL,CUZD1,TFAP2A
HERC5,POU2AF1,TLR5,AOC3,NUSAP1,NAGK,OAS3,TCN2,EGR1,ADAMTS5,CDC45L,TPI1,STT3A,BAK1,CENTG2,WDR23,USP9X,RUNDC3A,PLA2G6,LY9,PLEKHG3,GPR19,TUBB4Q,THNSL2,BFSP2,HPN,LOC728453,FAM64A,BDH1,LOC643332,NR1H3,ADRBK2
XAF1,OASL,DPEP2,RIN1,5414_at,FIBP,C7orf49,B3GALT4,FADS3,LRRFIP2,ANXA2,LHFPL2,ZCCHC4,SPHK1,ZNF160,KPTN,STX16,LMNB1,DLK1,C6orf103,AACS,IKZF3,SOCS6,ASCC3L1,KCNJ2,CENPA,FLJ12529,KANK1,ROM1,OR2C1,LOH11CR2A,SEC14L2
IFIT5,OAS2,CMKLR1,SAT1,ITGB3BP,AURKB,IL1R1,SYNJ2,DBNDD2,IL16,GALE,BMP3,PRKCZ,IRAK3,BUB1B,CCR1,NIT1,RPLP2,DHCR24,GSTZ1,ASTN2,LGALS9,MUPCDH,ITIH1,CBX5,LIN28,FER1L3,PDIA2,CD22,AMBP,MAPK4
OSBPL10,APOL6,LOC26010,TNFSF10,HIST1H2AM,FLVCR2,MAP2K4,ST3GAL5,MAD2L1BP,APOL2,PPM1F,C9orf127,RASSF4,SLC9A3R1,DLC1,SRR,AURKA,AVPI1,H2AFJ,AFFX-PheX-M_at,TNFRSF4,TNFAIP1,CDH8,KRT15,BLM,C2orf42,UPK3A,PCCA,IL22,NQO1,MAEA
MX1,BST2,PPP1R12B,IRF9,RPS4X,LILRB2,CR2,IGHD,IL1F5,727729_at,TMEM180,HERPUD1,KIT,CENPF,POMP,SERPINB1,CRYGC,MAFF,GRM3,MFAP2,TGFBR2,KRT16,SIAH2,ADORA2B,GPD2,TST,DIXDC1,CD79A,CHEK1,TRAV13-2,AP4M1
IRF7,CNP,PCSK7,UNC119B,IDS,CDKN1C,IDH1,CENPM,TCTN1,23273_at,PSMB9,C16orf3,KBTBD11,CLN8,SOX11,PAH,CDC20,PTPRK,FAHD2A,MUC1,PTOV1,PHLDA2,CDX4,BACE2,ABCA8,LRRN3,AFFX-r2-Bs-thr-M_s_at,LRRC20,POLR1B
PARP12,FCRL2,MYOM1,PDCD4,TRIM27,ERO1LB,ZNF132,BIRC5,NR3C1,HOMER1,HEY1,PEX5,KIF14,RAB8A,TRMT12,LGALS1,IL1B,TCTA,GINS2,CDCA3,GPR125,VASH1,TUBB6,ENOSF1,CTAG2,PCDHA3,PIAS2,TSPAN13,SERPINE1,ZNF701,RALGPS2,MOAP1
UBE2L6,WSB1,ATP6AP2,TSPAN3,LMNA,ACSM1,NSUN3,ADCY7,CXCL6,GPR20,G0S2,C9orf45,GPR35,JMJD2B,TCL1A,FZD5,ATF2,TRIM32,CCNB2,SSPN,DCLRE1B,ICAM4,MYST1,ZMYM5,ADD1,BCL2L10,SCD5,GPR175,IGHV3-23,RETSAT,NAT9,IL1RL2,HMOX1
IFIH1,VRK2,YTHDC1,CYBB,PTTG1,CAPNS1,PCK2,UPB1,WBP11,TPPP,HSPA4L,PRRG4,HBBP1,CHAF1A,ANGPTL3,HOXA1,SYN2,KCNA10,AOC2,CD86,RGS20,CERK,ZNF274,GPR63,INSL3,EIF2AK2,RHD,GNGT1,FSTL1,NOS3,PPP2R4
